dataset,method,beta,accuracy,avg_shift,avg_risk,max_depth,total_nodes
"Pima Indians Diabetes",gain_ratio,,0.684115,0.084233,0.325602,53.600000,182.000000
"Pima Indians Diabetes",class_confidence,,0.686979,0.193886,0.273241,16.300000,150.400000
"Pima Indians Diabetes",risk_aware_shift,0.000000,0.687760,0.334810,0.327891,9.800000,141.200000
"Pima Indians Diabetes",risk_aware_shift,0.050000,0.683333,0.335936,0.328310,9.700000,139.600000
"Pima Indians Diabetes",risk_aware_shift,0.100000,0.684115,0.335596,0.327630,9.700000,139.200000
"Pima Indians Diabetes",risk_aware_shift,0.150000,0.684375,0.336392,0.327313,9.700000,139.200000
"Pima Indians Diabetes",risk_aware_shift,0.200000,0.676562,0.336010,0.325195,9.600000,139.800000
"Pima Indians Diabetes",risk_aware_shift,0.250000,0.674740,0.335570,0.323506,9.600000,139.200000
"Pima Indians Diabetes",risk_aware_shift,0.300000,0.678125,0.334849,0.322642,9.600000,140.000000
"Pima Indians Diabetes",risk_aware_shift,0.400000,0.680208,0.335416,0.322138,9.600000,141.200000
"Pima Indians Diabetes",risk_aware_shift,0.500000,0.699479,0.333599,0.318275,9.800000,140.200000
"Pima Indians Diabetes",risk_aware_shift,0.600000,0.700260,0.332907,0.315966,10.000000,141.200000
"Pima Indians Diabetes",risk_aware_shift,0.700000,0.691146,0.325530,0.308425,10.200000,143.000000
"Pima Indians Diabetes",risk_aware_shift,0.750000,0.693750,0.325216,0.306454,10.100000,141.800000
"Pima Indians Diabetes",risk_aware_shift,0.800000,0.694271,0.320991,0.301839,10.000000,142.000000
"Pima Indians Diabetes",risk_aware_shift,0.900000,0.687500,0.318298,0.298004,10.500000,145.200000
"Pima Indians Diabetes",risk_aware_shift,1.000000,0.687240,0.315595,0.295054,11.000000,145.400000
"Breast Cancer Wisconsin",gain_ratio,,0.916348,0.200526,0.159195,9.200000,30.000000
"Breast Cancer Wisconsin",class_confidence,,0.923719,0.285326,0.134636,7.100000,24.400000
"Breast Cancer Wisconsin",risk_aware_shift,0.000000,0.924093,0.432304,0.210366,4.800000,21.000000
"Breast Cancer Wisconsin",risk_aware_shift,0.050000,0.924795,0.432332,0.203170,4.700000,20.000000
"Breast Cancer Wisconsin",risk_aware_shift,0.100000,0.924795,0.432357,0.201505,4.700000,20.000000
"Breast Cancer Wisconsin",risk_aware_shift,0.150000,0.923389,0.431896,0.196933,4.700000,20.000000
"Breast Cancer Wisconsin",risk_aware_shift,0.200000,0.923032,0.445906,0.189598,5.100000,20.200000
"Breast Cancer Wisconsin",risk_aware_shift,0.250000,0.924442,0.444939,0.183577,5.000000,20.200000
"Breast Cancer Wisconsin",risk_aware_shift,0.300000,0.924442,0.444919,0.182712,5.000000,20.200000
"Breast Cancer Wisconsin",risk_aware_shift,0.400000,0.921978,0.429845,0.168883,4.900000,20.400000
"Breast Cancer Wisconsin",risk_aware_shift,0.500000,0.922682,0.428702,0.165401,5.000000,21.000000
"Breast Cancer Wisconsin",risk_aware_shift,0.600000,0.923026,0.427920,0.163456,5.000000,22.200000
"Breast Cancer Wisconsin",risk_aware_shift,0.700000,0.913179,0.423243,0.154854,5.200000,23.000000
"Breast Cancer Wisconsin",risk_aware_shift,0.750000,0.915285,0.423030,0.150089,5.200000,23.400000
"Breast Cancer Wisconsin",risk_aware_shift,0.800000,0.913866,0.418802,0.144471,5.200000,23.200000
"Breast Cancer Wisconsin",risk_aware_shift,0.900000,0.915626,0.416205,0.141939,5.400000,23.800000
"Breast Cancer Wisconsin",risk_aware_shift,1.000000,0.917389,0.415035,0.139556,5.600000,23.800000
"Heart Disease",gain_ratio,,0.724570,0.170308,0.321439,26.300000,194.900000
"Heart Disease",class_confidence,,0.731501,0.283332,0.286943,13.100000,181.300000
"Heart Disease",risk_aware_shift,0.000000,0.726533,0.378365,0.333287,9.000000,180.100000
"Heart Disease",risk_aware_shift,0.050000,0.726751,0.378310,0.333424,9.000000,180.000000
"Heart Disease",risk_aware_shift,0.100000,0.726751,0.378917,0.332320,9.000000,181.800000
"Heart Disease",risk_aware_shift,0.150000,0.727619,0.378564,0.331942,9.100000,181.600000
"Heart Disease",risk_aware_shift,0.200000,0.726966,0.378124,0.331102,9.100000,181.000000
"Heart Disease",risk_aware_shift,0.250000,0.726964,0.378205,0.330747,9.100000,181.500000
"Heart Disease",risk_aware_shift,0.300000,0.725657,0.378075,0.329239,9.100000,182.100000
"Heart Disease",risk_aware_shift,0.400000,0.726958,0.377545,0.326411,9.300000,182.400000
"Heart Disease",risk_aware_shift,0.500000,0.725211,0.375553,0.322785,9.300000,181.000000
"Heart Disease",risk_aware_shift,0.600000,0.725859,0.374550,0.319304,9.600000,178.000000
"Heart Disease",risk_aware_shift,0.700000,0.724776,0.371920,0.314854,9.700000,177.500000
"Heart Disease",risk_aware_shift,0.750000,0.718472,0.371948,0.314589,9.800000,178.300000
"Heart Disease",risk_aware_shift,0.800000,0.720214,0.370941,0.311773,9.600000,178.300000
"Heart Disease",risk_aware_shift,0.900000,0.720865,0.365552,0.303543,9.800000,179.300000
"Heart Disease",risk_aware_shift,1.000000,0.722827,0.360540,0.297567,9.500000,178.400000
